ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source
abad1241,Abadi,Papunesia,-9.03389,146.992,abad1241,kbt,abvd;barlowpacific;numerals
abag1245,Abaga,Papunesia,-6.12028,145.665,abag1245,abg,barlowpacific
abai1240,Abai Sungai,Papunesia,5.55394,118.306,abai1240,abf,numerals
abai1241,Abai Tubu-Abai Sembuak,Papunesia,3.524226,116.162455,abai1241,,barlowpacific
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,aau,barlowpacific;numerals
aben1249,Abenlen Ayta,Papunesia,15.4131,120.2,aben1249,abp,abvd;numerals
abin1243,Abinomn,Papunesia,-2.92281,138.891,abin1243,bsa,barlowpacific;numerals
abom1238,Abom,Papunesia,-8.42448,142.842,abom1238,aob,numerals
abua1245,Abu' Arapesh,Papunesia,-3.461612,142.917031,abua1245,aah,barlowpacific
abui1241,Abui,Papunesia,-8.31058,124.588,abui1241,abz,barlowpacific;lexirumah;numerals
abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,kgr,barlowpacific;numerals
abuu1241,Abu,Papunesia,-4.24027,144.474,abuu1241,ado,barlowpacific
achi1257,Acehnese,Papunesia,3.90757,96.6032,achi1257,ace,abvd;barlowpacific;googleuninum;numerals
adan1251,Adang,Papunesia,-8.18958,124.448,adan1251,adn,lexirumah;numerals
adas1235,Adasen,Papunesia,17.8187,120.905,adas1235,tiu,numerals
adon1237,Adonara,Papunesia,-8.32027,123.159,adon1237,adr,lexirumah;numerals
adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,adz,barlowpacific;numerals
aeka1244,Aeka,Papunesia,-8.855095,147.99477,aeka1244,aez,barlowpacific
aeky1238,Aekyom,Papunesia,-5.88478,141.532,aeky1238,awi,barlowpacific
agar1252,Agarabi,Papunesia,-6.20604,145.917,agar1252,agd,barlowpacific;numerals
aghu1255,Aghu,Papunesia,-6.34674,140.043,aghu1255,ahh,barlowpacific
agii1245,Agi,Papunesia,-3.49104,142.387,agii1245,aif,barlowpacific
agob1244,Agob-Ende-Kawam,Papunesia,-9.08521,142.532,agob1244,kit,barlowpacific;ids-lindseyende;numerals
agta1234,Agta-Pahanan,Papunesia,17.0538,122.2802,agta1234,apf,barlowpacific
agus1235,Agusan Manobo,Papunesia,8.62731,125.742,agus1235,msm,numerals
agut1237,Agutaynen,Papunesia,10.5328,119.655,agut1237,agn,abvd;numerals
ahin1234,Ahin-Kayapa Kalanguya,Papunesia,16.321,120.90003,ahin1234,kak,abvd;barlowpacific;numerals
